,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,NRep,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan,VimPreprocessTime,VimPredictTime,VimTFLitePredictTime
0,1,3,256,256,64,0.75,2,1,0 days 00:00:00.012349,0 days 00:00:27.722154,86.0,87.0,49,0 days 00:00:02.737395,0 days 00:00:00.374647,0 days 00:00:00.002712
1,1,3,256,256,64,0.75,2,2,0 days 00:00:00.012349,0 days 00:00:23.680076,84.0,85.0,55,0 days 00:00:00.056327,0 days 00:00:00.257696,0 days 00:00:00.002843
2,1,3,256,256,64,0.75,2,3,0 days 00:00:00.012349,0 days 00:00:17.893729,82.0,81.0,44,0 days 00:00:00.074846,0 days 00:00:00.263190,0 days 00:00:00.002923
3,1,3,256,256,64,0.75,2,4,0 days 00:00:00.012349,0 days 00:00:31.270708,88.0,88.0,51,0 days 00:00:00.061989,0 days 00:00:00.271532,0 days 00:00:00.002788
4,1,3,256,256,64,0.75,2,5,0 days 00:00:00.012349,0 days 00:00:20.652563,86.0,87.0,35,0 days 00:00:00.049381,0 days 00:00:00.271596,0 days 00:00:00.002795
5,2,3,256,256,64,0.75,3,1,0 days 00:00:00.012349,0 days 00:00:21.538449,90.0,90.0,33,0 days 00:00:00.040224,0 days 00:00:00.271927,0 days 00:00:00.005411
6,2,3,256,256,64,0.75,3,2,0 days 00:00:00.012349,0 days 00:00:07.192702,73.0,78.0,18,0 days 00:00:00.049813,0 days 00:00:00.277741,0 days 00:00:00.005565
7,2,3,256,256,64,0.75,3,3,0 days 00:00:00.012349,0 days 00:00:32.994850,91.0,91.0,61,0 days 00:00:00.055287,0 days 00:00:00.271355,0 days 00:00:00.005687
8,2,3,256,256,64,0.75,3,4,0 days 00:00:00.012349,0 days 00:00:22.009600,90.0,89.0,45,0 days 00:00:00.053407,0 days 00:00:00.276986,0 days 00:00:00.005439
9,2,3,256,256,64,0.75,3,5,0 days 00:00:00.012349,0 days 00:00:33.298516,91.0,91.0,59,0 days 00:00:00.041561,0 days 00:00:00.296114,0 days 00:00:00.005468
10,3,3,256,256,64,0.75,5,1,0 days 00:00:00.012349,0 days 00:00:07.839011,73.0,69.0,15,0 days 00:00:00.064828,0 days 00:00:00.281452,0 days 00:00:00.014025
11,3,3,256,256,64,0.75,5,2,0 days 00:00:00.012349,0 days 00:00:03.323042,13.0,56.00000000000001,11,0 days 00:00:00.060000,0 days 00:00:00.283975,0 days 00:00:00.014236
12,3,3,256,256,64,0.75,5,3,0 days 00:00:00.012349,0 days 00:00:21.720684,86.0,87.0,34,0 days 00:00:00.042900,0 days 00:00:00.286199,0 days 00:00:00.014246
13,3,3,256,256,64,0.75,5,4,0 days 00:00:00.012349,0 days 00:00:38.088661,95.0,95.0,78,0 days 00:00:00.054739,0 days 00:00:00.281016,0 days 00:00:00.014104
14,3,3,256,256,64,0.75,5,5,0 days 00:00:00.012349,0 days 00:00:05.213081,65.0,75.0,15,0 days 00:00:00.056449,0 days 00:00:00.275817,0 days 00:00:00.014298
15,4,3,256,256,64,0.75,7,1,0 days 00:00:00.012349,0 days 00:00:22.562703,89.0,88.0,46,0 days 00:00:00.061117,0 days 00:00:00.282811,0 days 00:00:00.027333
16,4,3,256,256,64,0.75,7,2,0 days 00:00:00.012349,0 days 00:00:37.859843,94.0,94.0,80,0 days 00:00:00.066005,0 days 00:00:00.297883,0 days 00:00:00.027390
17,4,3,256,256,64,0.75,7,3,0 days 00:00:00.012349,0 days 00:00:31.240600,93.0,93.0,75,0 days 00:00:00.048348,0 days 00:00:00.272933,0 days 00:00:00.027728
18,4,3,256,256,64,0.75,7,4,0 days 00:00:00.012349,0 days 00:00:35.390009,94.0,94.0,80,0 days 00:00:00.059022,0 days 00:00:00.281585,0 days 00:00:00.028236
19,4,3,256,256,64,0.75,7,5,0 days 00:00:00.012349,0 days 00:00:38.075670,95.0,95.0,80,0 days 00:00:00.060546,0 days 00:00:00.282442,0 days 00:00:00.028712
20,5,3,256,256,128,0.5,2,1,0 days 00:00:00.010789,0 days 00:00:05.664870,13.0,56.00000000000001,14,0 days 00:00:00.053665,0 days 00:00:00.285758,0 days 00:00:00.001378
21,5,3,256,256,128,0.5,2,2,0 days 00:00:00.010789,0 days 00:00:24.091833,86.0,87.0,43,0 days 00:00:00.052493,0 days 00:00:00.263627,0 days 00:00:00.001507
