,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,NRep,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan,VimPreprocessTime,VimPredictTime,VimTFLitePredictTime
0,1,3,256,256,64,0.75,2,1,0 days 00:00:00.021133,0 days 00:01:43.335265,86.0,87.0,80,0 days 00:00:02.853181,0 days 00:00:00.379712,0 days 00:00:00.002679
1,1,3,256,256,64,0.75,2,2,0 days 00:00:00.021133,0 days 00:00:24.939207,59.0,69.0,33,0 days 00:00:00.064262,0 days 00:00:00.268487,0 days 00:00:00.002839
2,1,3,256,256,64,0.75,2,3,0 days 00:00:00.021133,0 days 00:00:40.661456,83.0,82.0,45,0 days 00:00:00.056417,0 days 00:00:00.268808,0 days 00:00:00.002844
3,1,3,256,256,64,0.75,2,4,0 days 00:00:00.021133,0 days 00:00:11.117143,22.0,59.0,15,0 days 00:00:00.055952,0 days 00:00:00.273889,0 days 00:00:00.002916
4,1,3,256,256,64,0.75,2,5,0 days 00:00:00.021133,0 days 00:01:22.172047,88.0,88.0,80,0 days 00:00:00.050597,0 days 00:00:00.272908,0 days 00:00:00.002800
5,2,3,256,256,64,0.75,3,1,0 days 00:00:00.021133,0 days 00:01:36.651124,95.0,96.0,80,0 days 00:00:00.052379,0 days 00:00:00.275212,0 days 00:00:00.005577
6,2,3,256,256,64,0.75,3,2,0 days 00:00:00.021133,0 days 00:00:12.651853,49.0,67.0,16,0 days 00:00:00.060030,0 days 00:00:00.281766,0 days 00:00:00.005940
7,2,3,256,256,64,0.75,3,3,0 days 00:00:00.021133,0 days 00:00:15.321290,70.0,76.0,17,0 days 00:00:00.040083,0 days 00:00:00.271533,0 days 00:00:00.005553
8,2,3,256,256,64,0.75,3,4,0 days 00:00:00.021133,0 days 00:01:42.242420,95.0,96.0,80,0 days 00:00:00.050838,0 days 00:00:00.279445,0 days 00:00:00.005516
9,2,3,256,256,64,0.75,3,5,0 days 00:00:00.021133,0 days 00:01:27.938744,95.0,96.0,80,0 days 00:00:00.045181,0 days 00:00:00.275878,0 days 00:00:00.005724
