,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,NRep,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan,VimPreprocessTime,VimPredictTime,VimTFLitePredictTime
0,1,3,256,256,64,0.75,2,1,0 days 00:00:00.019481,0 days 00:00:21.508638,66.0,51.0,13,0 days 00:00:03.698203,0 days 00:00:00.487457,0 days 00:00:00.004848
1,1,3,256,256,64,0.75,2,2,0 days 00:00:00.019481,0 days 00:00:49.559501,59.0,65.0,34,0 days 00:00:00.065241,0 days 00:00:00.272525,0 days 00:00:00.002859
2,1,3,256,256,64,0.75,2,3,0 days 00:00:00.019481,0 days 00:00:42.417131,71.0,69.0,30,0 days 00:00:00.062242,0 days 00:00:00.263309,0 days 00:00:00.002870
3,1,3,256,256,64,0.75,2,4,0 days 00:00:00.019481,0 days 00:00:13.823316,69.0,56.99999999999999,11,0 days 00:00:00.046932,0 days 00:00:00.272609,0 days 00:00:00.002806
4,1,3,256,256,64,0.75,2,5,0 days 00:00:00.019481,0 days 00:01:18.808322,64.0,70.0,53,0 days 00:00:00.046553,0 days 00:00:00.269529,0 days 00:00:00.002796
5,2,3,256,256,64,0.75,3,1,0 days 00:00:00.019481,0 days 00:01:36.605802,61.0,66.0,57,0 days 00:00:00.080746,0 days 00:00:00.279698,0 days 00:00:00.005492
6,2,3,256,256,64,0.75,3,2,0 days 00:00:00.019481,0 days 00:00:25.370397,68.0,56.99999999999999,17,0 days 00:00:00.058709,0 days 00:00:00.269626,0 days 00:00:00.005676
7,2,3,256,256,64,0.75,3,3,0 days 00:00:00.019481,0 days 00:00:33.304117,0.0,52.0,24,0 days 00:00:00.064940,0 days 00:00:00.271783,0 days 00:00:00.005655
8,2,3,256,256,64,0.75,3,4,0 days 00:00:00.019481,0 days 00:01:04.331512,70.0,66.0,44,0 days 00:00:00.058553,0 days 00:00:00.278852,0 days 00:00:00.005698
9,2,3,256,256,64,0.75,3,5,0 days 00:00:00.019481,0 days 00:01:55.605602,63.0,69.0,74,0 days 00:00:00.069098,0 days 00:00:00.271716,0 days 00:00:00.005660
10,3,3,256,256,64,0.75,5,1,0 days 00:00:00.019481,0 days 00:01:29.172732,71.0,70.0,33,0 days 00:00:00.061426,0 days 00:00:00.279751,0 days 00:00:00.014155
11,3,3,256,256,64,0.75,5,2,0 days 00:00:00.019481,0 days 00:01:44.071359,72.0,71.0,44,0 days 00:00:00.046761,0 days 00:00:00.286052,0 days 00:00:00.014639
12,3,3,256,256,64,0.75,5,3,0 days 00:00:00.019481,0 days 00:01:45.931531,71.0,72.0,44,0 days 00:00:00.071925,0 days 00:00:00.294859,0 days 00:00:00.014206
13,3,3,256,256,64,0.75,5,4,0 days 00:00:00.019481,0 days 00:02:20.255786,60.0,69.0,62,0 days 00:00:00.069038,0 days 00:00:00.277578,0 days 00:00:00.014617
14,3,3,256,256,64,0.75,5,5,0 days 00:00:00.019481,0 days 00:03:08.680352,70.0,74.0,80,0 days 00:00:00.067172,0 days 00:00:00.291373,0 days 00:00:00.014184
15,4,3,256,256,64,0.75,7,1,0 days 00:00:00.019481,0 days 00:02:12.801198,70.0,72.0,32,0 days 00:00:00.067453,0 days 00:00:00.279153,0 days 00:00:00.027826
16,4,3,256,256,64,0.75,7,2,0 days 00:00:00.019481,0 days 00:01:33.573375,70.0,68.0,25,0 days 00:00:00.047282,0 days 00:00:00.283673,0 days 00:00:00.027667
17,4,3,256,256,64,0.75,7,3,0 days 00:00:00.019481,0 days 00:04:51.576066,68.0,72.0,80,0 days 00:00:00.071722,0 days 00:00:00.283902,0 days 00:00:00.028180
18,4,3,256,256,64,0.75,7,4,0 days 00:00:00.019481,0 days 00:01:53.487122,0.0,52.0,31,0 days 00:00:00.055682,0 days 00:00:00.278540,0 days 00:00:00.027731
19,4,3,256,256,64,0.75,7,5,0 days 00:00:00.019481,0 days 00:01:07.254375,70.0,70.0,18,0 days 00:00:00.066475,0 days 00:00:00.281419,0 days 00:00:00.027679
20,5,3,256,256,128,0.5,2,1,0 days 00:00:00.014311,0 days 00:00:22.696666,70.0,60.0,18,0 days 00:00:00.047737,0 days 00:00:00.286849,0 days 00:00:00.001371
21,5,3,256,256,128,0.5,2,2,0 days 00:00:00.014311,0 days 00:00:11.458505,59.0,46.0,13,0 days 00:00:00.056775,0 days 00:00:00.285248,0 days 00:00:00.001518
22,5,3,256,256,128,0.5,2,3,0 days 00:00:00.014311,0 days 00:00:19.866763,68.0,60.0,21,0 days 00:00:00.051390,0 days 00:00:00.262310,0 days 00:00:00.001589
23,5,3,256,256,128,0.5,2,4,0 days 00:00:00.014311,0 days 00:00:39.844635,25.0,57.99999999999999,40,0 days 00:00:00.064680,0 days 00:00:00.269742,0 days 00:00:00.001435
24,5,3,256,256,128,0.5,2,5,0 days 00:00:00.014311,0 days 00:01:08.412132,61.0,69.0,80,0 days 00:00:00.054397,0 days 00:00:00.260969,0 days 00:00:00.001551
