,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan,FLOPS,AVGVimPreprocessTime,AVGVimPredictTime,AVGVimTFLitePredictTime
0,1,3,256,256,64,0.75,2,0 days 00:00:00.012349,0 days 00:00:24.243846,72.86666666666666,75.0,42.0,12423627.333333334,0 days 00:00:00.595988,0 days 00:00:00.287732,0 days 00:00:00.002812
1,2,3,256,256,64,0.75,3,0 days 00:00:00.012349,0 days 00:00:23.406823,73.39999999999999,78.66666666666667,47.0,27697707.333333332,0 days 00:00:00.048058,0 days 00:00:00.278825,0 days 00:00:00.005514
2,3,3,256,256,64,0.75,5,0 days 00:00:00.012349,0 days 00:00:15.236896,70.8,74.00000000000001,38.666666666666664,76574763.33333333,0 days 00:00:00.055783,0 days 00:00:00.281692,0 days 00:00:00.014182
3,4,3,256,256,64,0.75,7,0 days 00:00:00.012349,0 days 00:00:33.025765,80.13333333333333,84.06666666666666,58.666666666666664,149890347.33333334,0 days 00:00:00.059008,0 days 00:00:00.283531,0 days 00:00:00.027880
4,5,3,256,256,128,0.5,2,0 days 00:00:00.010789,0 days 00:00:14.809830,57.400000000000006,67.39999999999999,38.333333333333336,6232062.0,0 days 00:00:00.052575,0 days 00:00:00.268293,0 days 00:00:00.001457
5,6,3,256,256,128,0.5,3,0 days 00:00:00.010789,0 days 00:00:23.217057,78.2,74.86666666666667,45.0,13893848.666666666,0 days 00:00:00.045831,0 days 00:00:00.268107,0 days 00:00:00.002884
6,7,3,256,256,128,0.5,5,0 days 00:00:00.010789,0 days 00:00:25.789357,75.13333333333334,79.26666666666667,48.666666666666664,38411566.0,0 days 00:00:00.044280,0 days 00:00:00.277816,0 days 00:00:00.007344
7,8,3,256,256,128,0.5,7,0 days 00:00:00.010789,0 days 00:00:36.814931,86.8,85.86666666666667,60.0,75188142.0,0 days 00:00:00.041944,0 days 00:00:00.276316,0 days 00:00:00.014075
8,9,3,256,256,192,0.25,2,0 days 00:00:00.008040,0 days 00:00:23.071144,77.19999999999999,76.26666666666667,45.333333333333336,4161976.6666666665,0 days 00:00:00.044378,0 days 00:00:00.268471,0 days 00:00:00.001034
9,10,3,256,256,192,0.25,3,0 days 00:00:00.008040,0 days 00:00:30.233835,77.13333333333333,74.0,48.0,9278750.0,0 days 00:00:00.045489,0 days 00:00:00.276879,0 days 00:00:00.002006
10,11,3,256,256,192,0.25,5,0 days 00:00:00.008040,0 days 00:00:30.172949,79.86666666666666,81.93333333333334,53.666666666666664,25652424.666666668,0 days 00:00:00.044271,0 days 00:00:00.278847,0 days 00:00:00.005002
11,12,3,256,256,192,0.25,7,0 days 00:00:00.008040,0 days 00:00:43.613255,86.66666666666667,86.39999999999999,69.0,50212936.666666664,0 days 00:00:00.051065,0 days 00:00:00.279155,0 days 00:00:00.009608
12,13,3,256,256,256,0.0,2,0 days 00:00:00.009272,0 days 00:00:19.661477,73.26666666666667,76.06666666666666,46.333333333333336,3122176.6666666665,0 days 00:00:00.057862,0 days 00:00:00.269171,0 days 00:00:00.000835
13,14,3,256,256,256,0.0,3,0 days 00:00:00.009272,0 days 00:00:27.196726,73.0,76.26666666666667,48.0,6960630.0,0 days 00:00:00.055345,0 days 00:00:00.269863,0 days 00:00:00.001527
14,15,3,256,256,256,0.0,5,0 days 00:00:00.009272,0 days 00:00:32.787359,81.86666666666666,82.06666666666666,55.0,19243680.666666668,0 days 00:00:00.056372,0 days 00:00:00.270744,0 days 00:00:00.003827
15,16,3,256,256,256,0.0,7,0 days 00:00:00.009272,0 days 00:00:42.531172,86.13333333333333,84.8,64.0,37668256.666666664,0 days 00:00:00.060755,0 days 00:00:00.273939,0 days 00:00:00.007167
16,17,3,512,256,64,0.75,2,0 days 00:00:00.011610,0 days 00:00:20.305504,69.73333333333333,69.8,27.666666666666668,12423627.333333334,0 days 00:00:00.109727,0 days 00:00:00.351220,0 days 00:00:00.002871
17,18,3,512,256,64,0.75,3,0 days 00:00:00.011610,0 days 00:00:28.275888,72.60000000000001,80.26666666666667,55.333333333333336,27697707.333333332,0 days 00:00:00.106238,0 days 00:00:00.279269,0 days 00:00:00.005589
18,19,3,512,256,64,0.75,5,0 days 00:00:00.011610,0 days 00:00:15.835600,75.66666666666667,80.66666666666667,46.666666666666664,76574763.33333333,0 days 00:00:00.101750,0 days 00:00:00.298336,0 days 00:00:00.014328
19,20,3,512,256,64,0.75,7,0 days 00:00:00.011610,0 days 00:00:26.707644,78.26666666666667,83.8,60.0,149890347.33333334,0 days 00:00:00.110438,0 days 00:00:00.285624,0 days 00:00:00.027548
20,21,3,512,256,128,0.5,2,0 days 00:00:00.008736,0 days 00:00:24.687163,72.73333333333333,72.66666666666667,31.666666666666668,6232062.0,0 days 00:00:00.079351,0 days 00:00:00.271764,0 days 00:00:00.001441
21,22,3,512,256,128,0.5,3,0 days 00:00:00.008736,0 days 00:00:29.983020,72.93333333333334,80.4,57.333333333333336,13893848.666666666,0 days 00:00:00.073959,0 days 00:00:00.272764,0 days 00:00:00.002864
22,23,3,512,256,128,0.5,5,0 days 00:00:00.008736,0 days 00:00:18.236185,78.2,82.93333333333334,50.666666666666664,38411566.0,0 days 00:00:00.069448,0 days 00:00:00.275835,0 days 00:00:00.007314
23,24,3,512,256,128,0.5,7,0 days 00:00:00.008736,0 days 00:00:29.464849,86.26666666666665,86.59999999999998,58.333333333333336,75188142.0,0 days 00:00:00.065010,0 days 00:00:00.284828,0 days 00:00:00.014103
