,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan
0,1,3,256,256,64,0.75,2,0 days 00:00:00.021133,0 days 00:00:52.445024,67.6,77.0,51
1,2,3,256,256,64,0.75,3,0 days 00:00:00.021133,0 days 00:01:02.961086,80.8,86.2,55
2,3,3,256,256,64,0.75,5,0 days 00:00:00.021133,0 days 00:00:46.661839,77.2,74.4,32
3,4,3,256,256,64,0.75,7,0 days 00:00:00.021133,0 days 00:02:16.693920,91.8,92.6,67
4,5,3,256,256,128,0.5,2,0 days 00:00:00.010766,0 days 00:00:45.218714,63.4,77.2,53
5,6,3,256,256,128,0.5,3,0 days 00:00:00.010766,0 days 00:00:45.044765,82.4,78.0,50
6,7,3,256,256,128,0.5,5,0 days 00:00:00.010766,0 days 00:00:41.306829,71.0,80.0,39
7,8,3,256,256,128,0.5,7,0 days 00:00:00.010766,0 days 00:01:32.134491,96.6,96.8,71
8,9,3,256,256,192,0.25,2,0 days 00:00:00.013098,0 days 00:00:45.520765,79.2,79.2,55
9,10,3,256,256,192,0.25,3,0 days 00:00:00.013098,0 days 00:00:46.859210,81.2,75.8,54
10,11,3,256,256,192,0.25,5,0 days 00:00:00.013098,0 days 00:00:57.057156,87.0,86.2,57
11,12,3,256,256,192,0.25,7,0 days 00:00:00.013098,0 days 00:01:28.148340,94.4,94.6,80
12,13,3,256,256,256,0.0,2,0 days 00:00:00.006736,0 days 00:00:32.447515,70.2,77.6,55
13,14,3,256,256,256,0.0,3,0 days 00:00:00.006736,0 days 00:00:44.119307,86.6,86.0,58
14,15,3,256,256,256,0.0,5,0 days 00:00:00.006736,0 days 00:01:06.533950,92.0,92.8,71
15,16,3,256,256,256,0.0,7,0 days 00:00:00.006736,0 days 00:01:18.920125,93.6,93.8,76
16,17,3,512,256,64,0.75,2,0 days 00:00:00.016468,0 days 00:00:17.182888,75.2,74.0,21
17,18,3,512,256,64,0.75,3,0 days 00:00:00.016468,0 days 00:01:27.675024,90.2,89.2,68
18,19,3,512,256,64,0.75,5,0 days 00:00:00.016468,0 days 00:01:41.641617,91.8,92.2,69
19,20,3,512,256,64,0.75,7,0 days 00:00:00.016468,0 days 00:02:37.521438,95.4,96.0,79
20,21,3,512,256,128,0.5,2,0 days 00:00:00.012391,0 days 00:00:11.014851,72.2,73.0,18
21,22,3,512,256,128,0.5,3,0 days 00:00:00.012391,0 days 00:01:15.914851,90.4,89.4,67
22,23,3,512,256,128,0.5,5,0 days 00:00:00.012391,0 days 00:01:13.782727,92.8,93.0,68
23,24,3,512,256,128,0.5,7,0 days 00:00:00.012391,0 days 00:01:40.161166,97.4,97.4,73
24,25,3,512,256,192,0.25,2,0 days 00:00:00.010914,0 days 00:00:33.108605,74.8,77.0,43
25,26,3,512,256,192,0.25,3,0 days 00:00:00.010914,0 days 00:00:39.064215,83.2,83.6,43
26,27,3,512,256,192,0.25,5,0 days 00:00:00.010914,0 days 00:01:20.155970,94.2,94.4,80
27,28,3,512,256,192,0.25,7,0 days 00:00:00.010914,0 days 00:01:38.185646,95.4,95.8,80
28,29,3,512,256,256,0.0,2,0 days 00:00:00.009995,0 days 00:00:14.872713,73.6,72.4,29
29,30,3,512,256,256,0.0,3,0 days 00:00:00.009995,0 days 00:00:39.863228,83.0,82.2,58
30,31,3,512,256,256,0.0,5,0 days 00:00:00.009995,0 days 00:00:58.978887,92.4,92.6,71
