,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan,FLOPS,AVGVimPreprocessTime,AVGVimPredictTime,AVGVimTFLitePredictTime
0,1,3,256,256,64,0.75,2,0 days 00:00:00.021133,0 days 00:00:52.445024,67.6,77.0,51,12338550.0,0 days 00:00:00.616082,0 days 00:00:00.292761,0 days 00:00:00.002816
1,2,3,256,256,64,0.75,3,0 days 00:00:00.021133,0 days 00:01:02.961086,80.8,86.2,55,27507990.0,0 days 00:00:00.049702,0 days 00:00:00.276767,0 days 00:00:00.005662
2,3,3,256,256,64,0.75,5,0 days 00:00:00.021133,0 days 00:00:46.661839,77.2,74.4,32,76050198.0,0 days 00:00:00.054589,0 days 00:00:00.288848,0 days 00:00:00.014321
3,4,3,256,256,64,0.75,7,0 days 00:00:00.021133,0 days 00:02:16.693920,91.8,92.6,67,148863510.0,0 days 00:00:00.047216,0 days 00:00:00.286657,0 days 00:00:00.027887
4,5,3,256,256,128,0.5,2,0 days 00:00:00.010766,0 days 00:00:45.218714,63.4,77.2,53,6188142.0,0 days 00:00:00.046662,0 days 00:00:00.273582,0 days 00:00:00.001435
5,6,3,256,256,128,0.5,3,0 days 00:00:00.010766,0 days 00:00:45.044765,82.4,78.0,50,13795902.0,0 days 00:00:00.039891,0 days 00:00:00.272234,0 days 00:00:00.002967
6,7,3,256,256,128,0.5,5,0 days 00:00:00.010766,0 days 00:00:41.306829,71.0,80.0,39,38140734.0,0 days 00:00:00.047096,0 days 00:00:00.278663,0 days 00:00:00.007430
7,8,3,256,256,128,0.5,7,0 days 00:00:00.010766,0 days 00:01:32.134491,96.6,96.8,71,74657982.0,0 days 00:00:00.034014,0 days 00:00:00.282699,0 days 00:00:00.014485
8,9,3,256,256,192,0.25,2,0 days 00:00:00.013098,0 days 00:00:45.520765,79.2,79.2,55,4137758.0,0 days 00:00:00.043292,0 days 00:00:00.270677,0 days 00:00:00.001005
9,10,3,256,256,192,0.25,3,0 days 00:00:00.013098,0 days 00:00:46.859210,81.2,75.8,54,9224718.0,0 days 00:00:00.041154,0 days 00:00:00.276722,0 days 00:00:00.002005
