,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan
0,1,3,256,256,64,0.75,2,0 days 00:00:00.019481,0 days 00:00:41.223382,65.8,62.4,28
1,2,3,256,256,64,0.75,3,0 days 00:00:00.019481,0 days 00:01:07.043486,52.4,62.0,43
2,3,3,256,256,64,0.75,5,0 days 00:00:00.019481,0 days 00:02:05.622352,68.8,71.2,53
3,4,3,256,256,64,0.75,7,0 days 00:00:00.019481,0 days 00:02:19.738427,55.6,66.8,37
4,5,3,256,256,128,0.5,2,0 days 00:00:00.014311,0 days 00:00:32.455740,56.6,58.6,34
5,6,3,256,256,128,0.5,3,0 days 00:00:00.014311,0 days 00:00:35.321527,68.0,66.2,33
6,7,3,256,256,128,0.5,5,0 days 00:00:00.014311,0 days 00:01:15.177192,70.2,71.0,51
7,8,3,256,256,128,0.5,7,0 days 00:00:00.014311,0 days 00:01:18.393888,70.0,67.0,36
8,9,3,256,256,192,0.25,2,0 days 00:00:00.012500,0 days 00:00:25.759389,64.6,62.0,32
9,10,3,256,256,192,0.25,3,0 days 00:00:00.012500,0 days 00:00:31.491467,65.0,63.4,36
10,11,3,256,256,192,0.25,5,0 days 00:00:00.012500,0 days 00:00:52.320015,64.6,70.4,45
11,12,3,256,256,192,0.25,7,0 days 00:00:00.012500,0 days 00:01:13.065257,69.8,68.8,47
12,13,3,256,256,256,0.0,2,0 days 00:00:00.010173,0 days 00:00:29.280027,63.6,66.0,39
13,14,3,256,256,256,0.0,3,0 days 00:00:00.010173,0 days 00:00:24.626444,45.6,59.0,30
14,15,3,256,256,256,0.0,5,0 days 00:00:00.010173,0 days 00:00:31.347802,63.0,63.0,32
15,16,3,256,256,256,0.0,7,0 days 00:00:00.010173,0 days 00:00:49.122589,69.0,64.8,36
16,17,3,512,256,64,0.75,2,0 days 00:00:00.025440,0 days 00:00:26.711088,67.6,59.0,20
17,18,3,512,256,64,0.75,3,0 days 00:00:00.025440,0 days 00:01:16.063397,38.6,62.6,47
18,19,3,512,256,64,0.75,5,0 days 00:00:00.025440,0 days 00:01:24.087544,57.2,68.4,34
