,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan,FLOPS,AVGVimPreprocessTime,AVGVimPredictTime,AVGVimTFLitePredictTime
0,1,3,256,256,64,0.75,2,0 days 00:00:00.019481,0 days 00:00:41.223382,65.8,62.4,28,12593782.0,0 days 00:00:00.783834,0 days 00:00:00.313086,0 days 00:00:00.003236
1,2,3,256,256,64,0.75,3,0 days 00:00:00.019481,0 days 00:01:07.043486,52.4,62.0,43,28077142.0,0 days 00:00:00.066409,0 days 00:00:00.274335,0 days 00:00:00.005636
2,3,3,256,256,64,0.75,5,0 days 00:00:00.019481,0 days 00:02:05.622352,68.8,71.2,53,77623894.0,0 days 00:00:00.063264,0 days 00:00:00.285923,0 days 00:00:00.014360
3,4,3,256,256,64,0.75,7,0 days 00:00:00.019481,0 days 00:02:19.738427,55.6,66.8,37,151944022.0,0 days 00:00:00.061723,0 days 00:00:00.281337,0 days 00:00:00.027817
4,5,3,256,256,128,0.5,2,0 days 00:00:00.014311,0 days 00:00:32.455740,56.6,58.6,34,6319902.0,0 days 00:00:00.054996,0 days 00:00:00.273024,0 days 00:00:00.001493
5,6,3,256,256,128,0.5,3,0 days 00:00:00.014311,0 days 00:00:35.321527,68.0,66.2,33,14089742.0,0 days 00:00:00.055129,0 days 00:00:00.272295,0 days 00:00:00.002976
6,7,3,256,256,128,0.5,5,0 days 00:00:00.014311,0 days 00:01:15.177192,70.2,71.0,51,38953230.0,0 days 00:00:00.052844,0 days 00:00:00.273909,0 days 00:00:00.007322
7,8,3,256,256,128,0.5,7,0 days 00:00:00.014311,0 days 00:01:18.393888,70.0,67.0,36,76248462.0,0 days 00:00:00.053024,0 days 00:00:00.276551,0 days 00:00:00.014179
8,9,3,256,256,192,0.25,2,0 days 00:00:00.012500,0 days 00:00:25.759389,64.6,62.0,32,4210414.0,0 days 00:00:00.056848,0 days 00:00:00.265238,0 days 00:00:00.001031
9,10,3,256,256,192,0.25,3,0 days 00:00:00.012500,0 days 00:00:31.491467,65.0,63.4,36,9386814.0,0 days 00:00:00.053239,0 days 00:00:00.270830,0 days 00:00:00.002008
10,11,3,256,256,192,0.25,5,0 days 00:00:00.012500,0 days 00:00:52.320015,64.6,70.4,45,25951294.0,0 days 00:00:00.049394,0 days 00:00:00.281051,0 days 00:00:00.005050
11,12,3,256,256,192,0.25,7,0 days 00:00:00.012500,0 days 00:01:13.065257,69.8,68.8,47,50798014.0,0 days 00:00:00.049846,0 days 00:00:00.435044,0 days 00:00:00.009795
12,13,3,256,256,256,0.0,2,0 days 00:00:00.010173,0 days 00:00:29.280027,63.6,66.0,39,3137094.0,0 days 00:00:00.053211,0 days 00:00:00.269609,0 days 00:00:00.000779
13,14,3,256,256,256,0.0,3,0 days 00:00:00.010173,0 days 00:00:24.626444,45.6,59.0,30,6993734.0,0 days 00:00:00.048628,0 days 00:00:00.265444,0 days 00:00:00.001516
14,15,3,256,256,256,0.0,5,0 days 00:00:00.010173,0 days 00:00:31.347802,63.0,63.0,32,19334982.0,0 days 00:00:00.050841,0 days 00:00:00.269781,0 days 00:00:00.003847
15,16,3,256,256,256,0.0,7,0 days 00:00:00.010173,0 days 00:00:49.122589,69.0,64.8,36,37846854.0,0 days 00:00:00.051465,0 days 00:00:00.271181,0 days 00:00:00.007280
16,17,3,512,256,64,0.75,2,0 days 00:00:00.025440,0 days 00:00:26.711088,67.6,59.0,20,12593782.0,0 days 00:00:00.080256,0 days 00:00:00.267575,0 days 00:00:00.002821
17,18,3,512,256,64,0.75,3,0 days 00:00:00.025440,0 days 00:01:16.063397,38.6,62.6,47,28077142.0,0 days 00:00:00.076382,0 days 00:00:00.277283,0 days 00:00:00.005611
18,19,3,512,256,64,0.75,5,0 days 00:00:00.025440,0 days 00:01:24.087544,57.2,68.4,34,77623894.0,0 days 00:00:00.078063,0 days 00:00:00.290978,0 days 00:00:00.014432
19,20,3,512,256,64,0.75,7,0 days 00:00:00.025440,0 days 00:02:09.852497,48.2,64.6,35,151944022.0,0 days 00:00:00.082142,0 days 00:00:00.279213,0 days 00:00:00.027826
20,21,3,512,256,128,0.5,2,0 days 00:00:00.016563,0 days 00:00:21.752335,60.8,60.2,23,6319902.0,0 days 00:00:00.068199,0 days 00:00:00.264770,0 days 00:00:00.001464
21,22,3,512,256,128,0.5,3,0 days 00:00:00.016563,0 days 00:00:48.366609,39.0,62.4,43,14089742.0,0 days 00:00:00.062594,0 days 00:00:00.270143,0 days 00:00:00.002953
22,23,3,512,256,128,0.5,5,0 days 00:00:00.016563,0 days 00:01:03.194351,52.4,66.8,44,38953230.0,0 days 00:00:00.067212,0 days 00:00:00.277226,0 days 00:00:00.007428
23,24,3,512,256,128,0.5,7,0 days 00:00:00.016563,0 days 00:01:14.903252,70.8,71.8,36,76248462.0,0 days 00:00:00.068575,0 days 00:00:00.296509,0 days 00:00:00.014237
24,25,3,512,256,192,0.25,2,0 days 00:00:00.013147,0 days 00:00:21.330549,55.4,58.8,26,4210414.0,0 days 00:00:00.068437,0 days 00:00:00.272792,0 days 00:00:00.001026
25,26,3,512,256,192,0.25,3,0 days 00:00:00.013147,0 days 00:00:32.521201,57.6,61.6,35,9386814.0,0 days 00:00:00.054093,0 days 00:00:00.270013,0 days 00:00:00.001985
26,27,3,512,256,192,0.25,5,0 days 00:00:00.013147,0 days 00:00:45.672297,50.6,64.6,41,25951294.0,0 days 00:00:00.057900,0 days 00:00:00.274645,0 days 00:00:00.005058
27,28,3,512,256,192,0.25,7,0 days 00:00:00.013147,0 days 00:01:15.282188,66.6,70.4,49,50798014.0,0 days 00:00:00.055319,0 days 00:00:00.273322,0 days 00:00:00.009769
28,29,3,512,256,256,0.0,2,0 days 00:00:00.010417,0 days 00:00:23.698435,50.2,63.2,32,3137094.0,0 days 00:00:00.060585,0 days 00:00:00.268542,0 days 00:00:00.000757
29,30,3,512,256,256,0.0,3,0 days 00:00:00.010417,0 days 00:00:34.491363,34.0,61.2,46,6993734.0,0 days 00:00:00.051258,0 days 00:00:00.277575,0 days 00:00:00.001491
30,31,3,512,256,256,0.0,5,0 days 00:00:00.010417,0 days 00:00:59.500861,61.2,70.0,64,19334982.0,0 days 00:00:00.059305,0 days 00:00:00.276608,0 days 00:00:00.003804
31,32,3,512,256,256,0.0,7,0 days 00:00:00.010417,0 days 00:00:56.719756,74.2,71.8,42,37846854.0,0 days 00:00:00.057243,0 days 00:00:00.270090,0 days 00:00:00.007211
32,33,3,512,512,128,0.75,2,0 days 00:00:00.017764,0 days 00:00:22.775690,52.8,62.8,27,6319902.0,0 days 00:00:00.071020,0 days 00:00:00.272030,0 days 00:00:00.001442
33,34,3,512,512,128,0.75,3,0 days 00:00:00.017764,0 days 00:00:42.877622,35.4,57.8,38,14089742.0,0 days 00:00:00.063583,0 days 00:00:00.273452,0 days 00:00:00.002951
34,35,3,512,512,128,0.75,5,0 days 00:00:00.017764,0 days 00:01:04.466780,47.8,66.0,45,38953230.0,0 days 00:00:00.066939,0 days 00:00:00.277810,0 days 00:00:00.007399
35,36,3,512,512,128,0.75,7,0 days 00:00:00.017764,0 days 00:01:56.216655,54.6,66.8,55,76248462.0,0 days 00:00:00.060452,0 days 00:00:00.279388,0 days 00:00:00.014202
36,37,3,512,512,256,0.5,2,0 days 00:00:00.010089,0 days 00:00:19.362098,59.4,61.0,28,3137094.0,0 days 00:00:00.060515,0 days 00:00:00.265152,0 days 00:00:00.000782
37,38,3,512,512,256,0.5,3,0 days 00:00:00.010089,0 days 00:00:35.702681,31.4,59.2,40,6993734.0,0 days 00:00:00.058379,0 days 00:00:00.278605,0 days 00:00:00.001517
38,39,3,512,512,256,0.5,5,0 days 00:00:00.010089,0 days 00:00:48.555967,72.8,71.8,50,19334982.0,0 days 00:00:00.055168,0 days 00:00:00.279041,0 days 00:00:00.003789
39,40,3,512,512,256,0.5,7,0 days 00:00:00.010089,0 days 00:01:00.681974,58.2,66.8,45,37846854.0,0 days 00:00:00.050021,0 days 00:00:00.273839,0 days 00:00:00.007135
40,41,3,512,512,384,0.25,2,0 days 00:00:00.012053,0 days 00:00:27.419107,45.0,62.6,38,2109534.0,0 days 00:00:00.052347,0 days 00:00:00.266206,0 days 00:00:00.000595
41,42,3,512,512,384,0.25,3,0 days 00:00:00.012053,0 days 00:00:33.596816,21.4,57.0,43,4702734.0,0 days 00:00:00.058715,0 days 00:00:00.271901,0 days 00:00:00.001098
42,43,3,512,512,384,0.25,5,0 days 00:00:00.012053,0 days 00:00:38.593409,50.8,66.2,44,13000974.0,0 days 00:00:00.056536,0 days 00:00:00.274047,0 days 00:00:00.002738
43,44,3,512,512,384,0.25,7,0 days 00:00:00.012053,0 days 00:00:56.539681,54.4,67.8,54,25448334.0,0 days 00:00:00.051148,0 days 00:00:00.278365,0 days 00:00:00.005178
44,45,3,512,512,512,0.0,2,0 days 00:00:00.011570,0 days 00:00:20.163886,52.6,65.4,31,1568838.0,0 days 00:00:00.049666,0 days 00:00:00.272483,0 days 00:00:00.000444
45,46,3,512,512,512,0.0,3,0 days 00:00:00.011570,0 days 00:00:34.756356,57.0,67.8,45,3497158.0,0 days 00:00:00.052482,0 days 00:00:00.268049,0 days 00:00:00.000806
46,47,3,512,512,512,0.0,5,0 days 00:00:00.011570,0 days 00:00:35.313865,46.0,65.2,45,9667782.0,0 days 00:00:00.057592,0 days 00:00:00.269446,0 days 00:00:00.001959
47,48,3,512,512,512,0.0,7,0 days 00:00:00.011570,0 days 00:00:48.422679,67.8,72.2,53,18923718.0,0 days 00:00:00.046317,0 days 00:00:00.271846,0 days 00:00:00.003712
48,49,3,1024,256,64,0.75,2,0 days 00:00:00.035764,0 days 00:00:34.761486,58.2,60.8,24,12593782.0,0 days 00:00:00.113084,0 days 00:00:00.274583,0 days 00:00:00.002869
49,50,3,1024,256,64,0.75,3,0 days 00:00:00.035764,0 days 00:01:06.925695,51.4,65.2,42,28077142.0,0 days 00:00:00.106357,0 days 00:00:00.283494,0 days 00:00:00.005675
50,51,3,1024,256,64,0.75,5,0 days 00:00:00.035764,0 days 00:02:03.394580,68.2,72.8,51,77623894.0,0 days 00:00:00.112302,0 days 00:00:00.290172,0 days 00:00:00.014373
51,52,3,1024,256,64,0.75,7,0 days 00:00:00.035764,0 days 00:02:14.248852,68.2,71.6,36,151944022.0,0 days 00:00:00.110565,0 days 00:00:00.287729,0 days 00:00:00.027982
52,53,3,1024,256,128,0.5,2,0 days 00:00:00.024313,0 days 00:00:21.642797,35.4,54.0,22,6319902.0,0 days 00:00:00.082261,0 days 00:00:00.268880,0 days 00:00:00.001409
53,54,3,1024,256,128,0.5,3,0 days 00:00:00.024313,0 days 00:00:36.145380,28.8,58.4,32,14089742.0,0 days 00:00:00.078234,0 days 00:00:00.272632,0 days 00:00:00.002954
54,55,3,1024,256,128,0.5,5,0 days 00:00:00.024313,0 days 00:00:57.906979,64.4,67.8,40,38953230.0,0 days 00:00:00.078541,0 days 00:00:00.281053,0 days 00:00:00.007376
55,56,3,1024,256,128,0.5,7,0 days 00:00:00.024313,0 days 00:01:41.203388,73.6,71.2,48,76248462.0,0 days 00:00:00.081061,0 days 00:00:00.286462,0 days 00:00:00.014186
56,57,3,1024,256,192,0.25,2,0 days 00:00:00.019408,0 days 00:00:25.515542,44.8,59.4,30,4210414.0,0 days 00:00:00.068323,0 days 00:00:00.273166,0 days 00:00:00.001044
57,58,3,1024,256,192,0.25,3,0 days 00:00:00.019408,0 days 00:00:43.863108,49.0,64.8,45,9386814.0,0 days 00:00:00.064193,0 days 00:00:00.273692,0 days 00:00:00.002011
58,59,3,1024,256,192,0.25,5,0 days 00:00:00.019408,0 days 00:00:52.616791,64.4,70.8,45,25951294.0,0 days 00:00:00.084316,0 days 00:00:00.273792,0 days 00:00:00.005060
59,60,3,1024,256,192,0.25,7,0 days 00:00:00.019408,0 days 00:01:07.623907,73.0,71.0,43,50798014.0,0 days 00:00:00.065489,0 days 00:00:00.279552,0 days 00:00:00.009731
60,61,3,1024,256,256,0.0,2,0 days 00:00:00.013519,0 days 00:00:31.902391,59.2,64.8,48,3137094.0,0 days 00:00:00.059872,0 days 00:00:00.269351,0 days 00:00:00.000797
61,62,3,1024,256,256,0.0,3,0 days 00:00:00.013519,0 days 00:00:45.891047,59.6,69.4,57,6993734.0,0 days 00:00:00.066714,0 days 00:00:00.283402,0 days 00:00:00.001522
62,63,3,1024,256,256,0.0,5,0 days 00:00:00.013519,0 days 00:00:49.467505,59.8,68.2,50,19334982.0,0 days 00:00:00.061652,0 days 00:00:00.271632,0 days 00:00:00.003803
63,64,3,1024,256,256,0.0,7,0 days 00:00:00.013519,0 days 00:01:10.821458,74.8,73.0,55,37846854.0,0 days 00:00:00.064248,0 days 00:00:00.275456,0 days 00:00:00.007255
64,65,3,1024,512,128,0.75,2,0 days 00:00:00.019517,0 days 00:00:32.495684,48.2,60.8,32,6319902.0,0 days 00:00:00.078222,0 days 00:00:00.270387,0 days 00:00:00.001442
65,66,3,1024,512,128,0.75,3,0 days 00:00:00.019517,0 days 00:00:41.393457,17.0,55.4,39,14089742.0,0 days 00:00:00.082439,0 days 00:00:00.274123,0 days 00:00:00.002908
66,67,3,1024,512,128,0.75,5,0 days 00:00:00.019517,0 days 00:00:50.520904,39.4,63.6,33,38953230.0,0 days 00:00:00.084889,0 days 00:00:00.294544,0 days 00:00:00.007402
67,68,3,1024,512,128,0.75,7,0 days 00:00:00.019517,0 days 00:02:01.738976,64.6,71.4,58,76248462.0,0 days 00:00:00.082449,0 days 00:00:00.290173,0 days 00:00:00.014222
68,69,3,1024,512,256,0.5,2,0 days 00:00:00.017661,0 days 00:00:23.676386,59.2,65.8,31,3137094.0,0 days 00:00:00.061999,0 days 00:00:00.265525,0 days 00:00:00.000750
69,70,3,1024,512,256,0.5,3,0 days 00:00:00.017661,0 days 00:00:33.685183,50.8,61.8,39,6993734.0,0 days 00:00:00.073941,0 days 00:00:00.271971,0 days 00:00:00.001516
70,71,3,1024,512,256,0.5,5,0 days 00:00:00.017661,0 days 00:00:46.035101,66.6,72.0,44,19334982.0,0 days 00:00:00.059837,0 days 00:00:00.272145,0 days 00:00:00.003785
71,72,3,1024,512,256,0.5,7,0 days 00:00:00.017661,0 days 00:01:11.204119,71.2,74.0,56,37846854.0,0 days 00:00:00.066497,0 days 00:00:00.280819,0 days 00:00:00.007157
72,73,3,1024,512,384,0.25,2,0 days 00:00:00.012387,0 days 00:00:16.359476,44.8,61.6,23,2109534.0,0 days 00:00:00.065000,0 days 00:00:00.275891,0 days 00:00:00.000583
73,74,3,1024,512,384,0.25,3,0 days 00:00:00.012387,0 days 00:00:39.288241,42.0,62.2,59,4702734.0,0 days 00:00:00.063903,0 days 00:00:00.277832,0 days 00:00:00.001102
