,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan
0,1,3,256,256,64,0.75,2,0 days 00:00:00.012349,0 days 00:00:31.270708,88.0,88.0,51
1,2,3,256,256,64,0.75,3,0 days 00:00:00.012349,0 days 00:00:32.994850,91.0,91.0,61
2,3,3,256,256,64,0.75,5,0 days 00:00:00.012349,0 days 00:00:38.088661,95.0,95.0,78
3,4,3,256,256,64,0.75,7,0 days 00:00:00.012349,0 days 00:00:38.075670,95.0,95.0,80
4,5,3,256,256,128,0.5,2,0 days 00:00:00.010789,0 days 00:00:33.408673,87.0,87.0,53
5,6,3,256,256,128,0.5,3,0 days 00:00:00.010789,0 days 00:00:30.560704,91.0,91.0,62
6,7,3,256,256,128,0.5,5,0 days 00:00:00.010789,0 days 00:00:41.593411,95.0,95.0,80
7,8,3,256,256,128,0.5,7,0 days 00:00:00.010789,0 days 00:00:33.676585,96.0,96.0,80
8,9,3,256,256,192,0.25,2,0 days 00:00:00.008040,0 days 00:00:23.385203,91.0,91.0,51
9,10,3,256,256,192,0.25,3,0 days 00:00:00.008040,0 days 00:00:45.885941,93.0,93.0,80
10,11,3,256,256,192,0.25,5,0 days 00:00:00.008040,0 days 00:00:46.068353,95.0,95.0,80
11,12,3,256,256,192,0.25,7,0 days 00:00:00.008040,0 days 00:00:36.491881,99.0,99.0,80
12,13,3,256,256,256,0.0,2,0 days 00:00:00.009272,0 days 00:00:21.387770,91.0,91.0,44
13,14,3,256,256,256,0.0,3,0 days 00:00:00.009272,0 days 00:00:40.020578,93.0,93.0,80
14,15,3,256,256,256,0.0,5,0 days 00:00:00.009272,0 days 00:00:36.184931,96.0,96.0,80
15,16,3,256,256,256,0.0,7,0 days 00:00:00.009272,0 days 00:00:42.890433,97.0,97.0,80
16,17,3,512,256,64,0.75,2,0 days 00:00:00.011610,0 days 00:00:30.405330,86.0,86.0,47
17,18,3,512,256,64,0.75,3,0 days 00:00:00.011610,0 days 00:00:40.138148,91.0,91.0,74
18,19,3,512,256,64,0.75,5,0 days 00:00:00.011610,0 days 00:00:27.443294,90.0,90.0,61
19,20,3,512,256,64,0.75,7,0 days 00:00:00.011610,0 days 00:00:32.994611,92.0,92.0,80
20,21,3,512,256,128,0.5,2,0 days 00:00:00.008736,0 days 00:00:34.920091,89.0,89.0,80
21,22,3,512,256,128,0.5,3,0 days 00:00:00.008736,0 days 00:00:46.760437,91.0,91.0,80
22,23,3,512,256,128,0.5,5,0 days 00:00:00.008736,0 days 00:00:24.043700,90.0,90.0,44
23,24,3,512,256,128,0.5,7,0 days 00:00:00.008736,0 days 00:00:39.336013,94.0,94.0,80
24,25,3,512,256,192,0.25,2,0 days 00:00:00.008216,0 days 00:00:25.654997,88.0,87.0,42
25,26,3,512,256,192,0.25,3,0 days 00:00:00.008216,0 days 00:00:20.914674,91.0,91.0,39
26,27,3,512,256,192,0.25,5,0 days 00:00:00.008216,0 days 00:00:36.051485,93.0,93.0,80
27,28,3,512,256,192,0.25,7,0 days 00:00:00.008216,0 days 00:00:27.357858,95.0,95.0,80
28,29,3,512,256,256,0.0,2,0 days 00:00:00.008627,0 days 00:00:21.968443,89.0,89.0,39
29,30,3,512,256,256,0.0,3,0 days 00:00:00.008627,0 days 00:00:29.751885,92.0,92.0,80
30,31,3,512,256,256,0.0,5,0 days 00:00:00.008627,0 days 00:00:28.162073,92.0,92.0,75
31,32,3,512,256,256,0.0,7,0 days 00:00:00.008627,0 days 00:00:31.113323,96.0,96.0,80
32,33,3,512,512,128,0.75,2,0 days 00:00:00.008808,0 days 00:00:24.176282,90.0,90.0,39
33,34,3,512,512,128,0.75,3,0 days 00:00:00.008808,0 days 00:00:27.830828,90.0,90.0,45
34,35,3,512,512,128,0.75,5,0 days 00:00:00.008808,0 days 00:00:26.396200,93.0,93.0,75
35,36,3,512,512,128,0.75,7,0 days 00:00:00.008808,0 days 00:00:35.211505,93.0,93.0,80
36,37,3,512,512,256,0.5,2,0 days 00:00:00.010587,0 days 00:00:34.270239,91.0,91.0,74
37,38,3,512,512,256,0.5,3,0 days 00:00:00.010587,0 days 00:00:29.985327,93.0,93.0,80
38,39,3,512,512,256,0.5,5,0 days 00:00:00.010587,0 days 00:00:38.418868,93.0,93.0,80
39,40,3,512,512,256,0.5,7,0 days 00:00:00.010587,0 days 00:00:28.215153,96.0,97.0,79
40,41,3,512,512,384,0.25,2,0 days 00:00:00.007282,0 days 00:00:23.656167,90.0,90.0,47
41,42,3,512,512,384,0.25,3,0 days 00:00:00.007282,0 days 00:00:41.790180,93.0,93.0,80
42,43,3,512,512,384,0.25,5,0 days 00:00:00.007282,0 days 00:00:27.939393,96.0,96.0,80
43,44,3,512,512,384,0.25,7,0 days 00:00:00.007282,0 days 00:00:33.031710,95.0,95.0,80
44,45,3,512,512,512,0.0,2,0 days 00:00:00.007283,0 days 00:00:23.312927,92.0,91.0,43
45,46,3,512,512,512,0.0,3,0 days 00:00:00.007283,0 days 00:00:41.682154,92.0,92.0,80
46,47,3,512,512,512,0.0,5,0 days 00:00:00.007283,0 days 00:00:36.655796,94.0,94.0,80
47,48,3,512,512,512,0.0,7,0 days 00:00:00.007283,0 days 00:00:38.000943,95.0,95.0,80
48,49,3,1024,256,64,0.75,2,0 days 00:00:00.016197,0 days 00:00:35.999619,90.0,89.0,62
49,50,3,1024,256,64,0.75,3,0 days 00:00:00.016197,0 days 00:00:39.045711,92.0,92.0,80
50,51,3,1024,256,64,0.75,5,0 days 00:00:00.016197,0 days 00:00:25.869858,92.0,92.0,62
51,52,3,1024,256,64,0.75,7,0 days 00:00:00.016197,0 days 00:00:32.282094,92.0,92.0,80
52,53,3,1024,256,128,0.5,2,0 days 00:00:00.012263,0 days 00:00:26.697700,90.0,90.0,50
53,54,3,1024,256,128,0.5,3,0 days 00:00:00.012263,0 days 00:00:29.511605,92.0,91.0,73
54,55,3,1024,256,128,0.5,5,0 days 00:00:00.012263,0 days 00:00:20.527983,91.0,91.0,44
55,56,3,1024,256,128,0.5,7,0 days 00:00:00.012263,0 days 00:00:32.727822,96.0,96.0,80
56,57,3,1024,256,192,0.25,2,0 days 00:00:00.010366,0 days 00:00:21.891366,90.0,90.0,41
57,58,3,1024,256,192,0.25,3,0 days 00:00:00.010366,0 days 00:00:19.743685,89.0,89.0,39
58,59,3,1024,256,192,0.25,5,0 days 00:00:00.010366,0 days 00:00:34.583940,94.0,94.0,80
59,60,3,1024,256,192,0.25,7,0 days 00:00:00.010366,0 days 00:00:34.020968,97.0,97.0,80
60,61,3,1024,256,256,0.0,2,0 days 00:00:00.009358,0 days 00:00:19.612450,91.0,91.0,38
61,62,3,1024,256,256,0.0,3,0 days 00:00:00.009358,0 days 00:00:27.822057,91.0,91.0,73
62,63,3,1024,256,256,0.0,5,0 days 00:00:00.009358,0 days 00:00:34.136109,93.0,93.0,80
63,64,3,1024,256,256,0.0,7,0 days 00:00:00.009358,0 days 00:00:31.625405,96.0,96.0,80
64,65,3,1024,512,128,0.75,2,0 days 00:00:00.012433,0 days 00:00:29.367668,92.0,91.0,62
65,66,3,1024,512,128,0.75,3,0 days 00:00:00.012433,0 days 00:00:28.000125,91.0,91.0,45
66,67,3,1024,512,128,0.75,5,0 days 00:00:00.012433,0 days 00:00:40.426294,93.0,93.0,63
67,68,3,1024,512,128,0.75,7,0 days 00:00:00.012433,0 days 00:00:41.284061,95.0,95.0,69
68,69,3,1024,512,256,0.5,2,0 days 00:00:00.010916,0 days 00:00:43.476770,92.0,92.0,80
69,70,3,1024,512,256,0.5,3,0 days 00:00:00.010916,0 days 00:00:34.379275,89.0,89.0,61
70,71,3,1024,512,256,0.5,5,0 days 00:00:00.010916,0 days 00:00:45.199522,95.0,95.0,80
71,72,3,1024,512,256,0.5,7,0 days 00:00:00.010916,0 days 00:00:43.114468,97.0,97.0,73
72,73,3,1024,512,384,0.25,2,0 days 00:00:00.010796,0 days 00:00:28.978536,88.0,87.0,40
73,74,3,1024,512,384,0.25,3,0 days 00:00:00.010796,0 days 00:00:43.897224,93.0,93.0,80
74,75,3,1024,512,384,0.25,5,0 days 00:00:00.010796,0 days 00:00:30.391800,97.0,97.0,76
75,76,3,1024,512,384,0.25,7,0 days 00:00:00.010796,0 days 00:00:34.744301,95.0,95.0,73
76,77,3,1024,512,512,0.0,2,0 days 00:00:00.008295,0 days 00:00:35.717663,93.0,93.0,80
77,78,3,1024,512,512,0.0,3,0 days 00:00:00.008295,0 days 00:00:57.009854,95.0,95.0,80
78,79,3,1024,512,512,0.0,5,0 days 00:00:00.008295,0 days 00:00:34.358235,94.0,95.0,80
79,80,3,1024,512,512,0.0,7,0 days 00:00:00.008295,0 days 00:00:34.144638,96.0,96.0,80
80,81,3,1024,1024,256,0.75,2,0 days 00:00:00.010188,0 days 00:00:17.996043,90.0,90.0,40
81,82,3,1024,1024,256,0.75,3,0 days 00:00:00.010188,0 days 00:00:45.990468,91.0,91.0,80
82,83,3,1024,1024,256,0.75,5,0 days 00:00:00.010188,0 days 00:00:24.189219,95.0,95.0,65
83,84,3,1024,1024,256,0.75,7,0 days 00:00:00.010188,0 days 00:00:33.178118,97.0,97.0,80
84,85,3,1024,1024,512,0.5,2,0 days 00:00:00.008357,0 days 00:00:26.282748,90.0,90.0,40
85,86,3,1024,1024,512,0.5,3,0 days 00:00:00.008357,0 days 00:00:41.563855,93.0,93.0,80
86,87,3,1024,1024,512,0.5,5,0 days 00:00:00.008357,0 days 00:00:31.182140,95.0,95.0,59
87,88,3,1024,1024,512,0.5,7,0 days 00:00:00.008357,0 days 00:00:50.922405,97.0,97.0,80
88,89,3,1024,1024,768,0.25,2,0 days 00:00:00.007517,0 days 00:00:28.486182,92.0,91.0,40
89,90,3,1024,1024,768,0.25,3,0 days 00:00:00.007517,0 days 00:00:46.903754,95.0,95.0,80
90,91,3,1024,1024,768,0.25,5,0 days 00:00:00.007517,0 days 00:00:37.979027,96.0,96.0,77
91,92,3,1024,1024,768,0.25,7,0 days 00:00:00.007517,0 days 00:00:35.844767,95.0,95.0,61
92,93,3,1024,1024,1024,0.0,2,0 days 00:00:00.007295,0 days 00:00:16.376521,90.0,90.0,40
93,94,3,1024,1024,1024,0.0,3,0 days 00:00:00.007295,0 days 00:00:45.080114,93.0,93.0,77
94,95,3,1024,1024,1024,0.0,5,0 days 00:00:00.007295,0 days 00:00:47.588849,96.0,96.0,80
95,96,3,1024,1024,1024,0.0,7,0 days 00:00:00.007295,0 days 00:00:43.188678,96.0,96.0,73
96,97,3,2048,256,64,0.75,2,0 days 00:00:00.030175,0 days 00:00:32.082529,88.0,88.0,75
97,98,3,2048,256,64,0.75,3,0 days 00:00:00.030175,0 days 00:00:39.159621,92.0,91.0,76
98,99,3,2048,256,64,0.75,5,0 days 00:00:00.030175,0 days 00:00:37.246437,92.0,92.0,75
99,100,3,2048,256,64,0.75,7,0 days 00:00:00.030175,0 days 00:00:25.921789,92.0,91.0,40
100,101,3,2048,256,128,0.5,2,0 days 00:00:00.018816,0 days 00:00:36.842008,90.0,89.0,76
101,102,3,2048,256,128,0.5,3,0 days 00:00:00.018816,0 days 00:00:37.738022,89.0,89.0,80
102,103,3,2048,256,128,0.5,5,0 days 00:00:00.018816,0 days 00:00:30.418393,93.0,93.0,80
103,104,3,2048,256,128,0.5,7,0 days 00:00:00.018816,0 days 00:00:40.330138,96.0,97.0,80
104,105,3,2048,256,192,0.25,2,0 days 00:00:00.017108,0 days 00:00:20.868700,90.0,89.0,31
105,106,3,2048,256,192,0.25,3,0 days 00:00:00.017108,0 days 00:00:36.980774,91.0,91.0,80
106,107,3,2048,256,192,0.25,5,0 days 00:00:00.017108,0 days 00:00:18.731578,91.0,91.0,44
107,108,3,2048,256,192,0.25,7,0 days 00:00:00.017108,0 days 00:00:33.279231,96.0,96.0,80
108,109,3,2048,256,256,0.0,2,0 days 00:00:00.016123,0 days 00:00:48.090473,91.0,91.0,67
109,110,3,2048,256,256,0.0,3,0 days 00:00:00.016123,0 days 00:00:41.898016,92.0,92.0,80
110,111,3,2048,256,256,0.0,5,0 days 00:00:00.016123,0 days 00:00:32.861438,96.0,96.0,76
111,112,3,2048,256,256,0.0,7,0 days 00:00:00.016123,0 days 00:00:35.462094,96.0,96.0,80
112,113,3,2048,512,128,0.75,2,0 days 00:00:00.019018,0 days 00:00:21.374489,90.0,89.0,40
113,114,3,2048,512,128,0.75,3,0 days 00:00:00.019018,0 days 00:00:56.193134,92.0,92.0,80
114,115,3,2048,512,128,0.75,5,0 days 00:00:00.019018,0 days 00:00:31.217585,91.0,91.0,62
115,116,3,2048,512,128,0.75,7,0 days 00:00:00.019018,0 days 00:00:27.776388,94.0,94.0,55
116,117,3,2048,512,256,0.5,2,0 days 00:00:00.013380,0 days 00:00:38.772694,91.0,91.0,70
117,118,3,2048,512,256,0.5,3,0 days 00:00:00.013380,0 days 00:00:37.743863,92.0,92.0,80
118,119,3,2048,512,256,0.5,5,0 days 00:00:00.013380,0 days 00:00:42.309866,95.0,95.0,79
119,120,3,2048,512,256,0.5,7,0 days 00:00:00.013380,0 days 00:00:27.639028,96.0,96.0,51
120,121,3,2048,512,384,0.25,2,0 days 00:00:00.011580,0 days 00:00:16.294133,90.0,90.0,29
121,122,3,2048,512,384,0.25,3,0 days 00:00:00.011580,0 days 00:00:51.279432,93.0,93.0,80
122,123,3,2048,512,384,0.25,5,0 days 00:00:00.011580,0 days 00:00:37.644855,96.0,96.0,80
123,124,3,2048,512,384,0.25,7,0 days 00:00:00.011580,0 days 00:00:35.995950,96.0,96.0,75
124,125,3,2048,512,512,0.0,2,0 days 00:00:00.012443,0 days 00:00:16.651515,89.0,89.0,30
125,126,3,2048,512,512,0.0,3,0 days 00:00:00.012443,0 days 00:00:49.447954,95.0,95.0,80
126,127,3,2048,512,512,0.0,5,0 days 00:00:00.012443,0 days 00:00:35.768006,97.0,97.0,80
127,128,3,2048,512,512,0.0,7,0 days 00:00:00.012443,0 days 00:00:41.947945,96.0,96.0,80
128,129,3,2048,1024,256,0.75,2,0 days 00:00:00.013055,0 days 00:00:39.986012,92.0,92.0,80
129,130,3,2048,1024,256,0.75,3,0 days 00:00:00.013055,0 days 00:00:40.127926,92.0,92.0,73
130,131,3,2048,1024,256,0.75,5,0 days 00:00:00.013055,0 days 00:00:44.825488,97.0,97.0,75
131,132,3,2048,1024,256,0.75,7,0 days 00:00:00.013055,0 days 00:00:33.980573,97.0,97.0,80
132,133,3,2048,1024,512,0.5,2,0 days 00:00:00.011164,0 days 00:00:20.167694,90.0,90.0,37
133,134,3,2048,1024,512,0.5,3,0 days 00:00:00.011164,0 days 00:00:47.485065,93.0,93.0,80
134,135,3,2048,1024,512,0.5,5,0 days 00:00:00.011164,0 days 00:00:32.256172,97.0,97.0,80
135,136,3,2048,1024,512,0.5,7,0 days 00:00:00.011164,0 days 00:00:39.321319,97.0,97.0,60
136,137,3,2048,1024,768,0.25,2,0 days 00:00:00.010369,0 days 00:00:27.183966,91.0,91.0,39
137,138,3,2048,1024,768,0.25,3,0 days 00:00:00.010369,0 days 00:00:47.127906,95.0,95.0,80
138,139,3,2048,1024,768,0.25,5,0 days 00:00:00.010369,0 days 00:00:35.163093,97.0,97.0,80
139,140,3,2048,1024,768,0.25,7,0 days 00:00:00.010369,0 days 00:00:30.849230,97.0,97.0,55
140,141,3,2048,1024,1024,0.0,2,0 days 00:00:00.009177,0 days 00:00:28.659823,90.0,90.0,68
141,142,3,2048,1024,1024,0.0,3,0 days 00:00:00.009177,0 days 00:00:38.882574,94.0,94.0,80
142,143,3,2048,1024,1024,0.0,5,0 days 00:00:00.009177,0 days 00:00:44.285279,97.0,97.0,80
143,144,3,2048,1024,1024,0.0,7,0 days 00:00:00.009177,0 days 00:00:44.058919,99.0,99.0,80
144,145,3,2048,2048,512,0.75,2,0 days 00:00:00.012243,0 days 00:00:21.368139,89.0,88.0,34
145,146,3,2048,2048,512,0.75,3,0 days 00:00:00.012243,0 days 00:00:35.285207,96.0,96.0,80
146,147,3,2048,2048,512,0.75,5,0 days 00:00:00.012243,0 days 00:00:38.693658,97.0,97.0,80
147,148,3,2048,2048,512,0.75,7,0 days 00:00:00.012243,0 days 00:00:29.960845,97.0,97.0,80
148,149,3,2048,2048,1024,0.5,2,0 days 00:00:00.007952,0 days 00:00:29.148361,90.0,90.0,57
149,150,3,2048,2048,1024,0.5,3,0 days 00:00:00.007952,0 days 00:00:43.796173,95.0,95.0,80
150,151,3,2048,2048,1024,0.5,5,0 days 00:00:00.007952,0 days 00:00:36.424119,97.0,97.0,80
151,152,3,2048,2048,1024,0.5,7,0 days 00:00:00.007952,0 days 00:00:38.745206,98.0,98.0,76
152,153,3,2048,2048,1536,0.25,2,0 days 00:00:00.009624,0 days 00:00:41.725340,92.0,92.0,80
153,154,3,2048,2048,1536,0.25,3,0 days 00:00:00.009624,0 days 00:00:37.367975,97.0,97.0,80
154,155,3,2048,2048,1536,0.25,5,0 days 00:00:00.009624,0 days 00:00:41.144925,97.0,97.0,73
155,156,3,2048,2048,1536,0.25,7,0 days 00:00:00.009624,0 days 00:00:34.171966,98.0,98.0,74
156,157,3,2048,2048,2048,0.0,2,0 days 00:00:00.009038,0 days 00:00:51.795988,93.0,93.0,80
157,158,3,2048,2048,2048,0.0,3,0 days 00:00:00.009038,0 days 00:00:55.642412,96.0,96.0,80
158,159,3,2048,2048,2048,0.0,5,0 days 00:00:00.009038,0 days 00:00:50.657638,97.0,97.0,80
159,160,3,2048,2048,2048,0.0,7,0 days 00:00:00.009038,0 days 00:00:30.996489,97.0,97.0,48
160,161,3,4096,256,64,0.75,2,0 days 00:00:00.059986,0 days 00:00:39.439384,88.0,88.0,77
161,162,3,4096,256,64,0.75,3,0 days 00:00:00.059986,0 days 00:00:59.030990,92.0,92.0,80
162,163,3,4096,256,64,0.75,5,0 days 00:00:00.059986,0 days 00:00:29.580419,91.0,91.0,62
163,164,3,4096,256,64,0.75,7,0 days 00:00:00.059986,0 days 00:00:21.677295,92.0,91.0,36
164,165,3,4096,256,128,0.5,2,0 days 00:00:00.036242,0 days 00:00:33.612070,90.0,89.0,62
165,166,3,4096,256,128,0.5,3,0 days 00:00:00.036242,0 days 00:00:35.379340,91.0,91.0,47
166,167,3,4096,256,128,0.5,5,0 days 00:00:00.036242,0 days 00:00:30.984695,91.0,91.0,62
167,168,3,4096,256,128,0.5,7,0 days 00:00:00.036242,0 days 00:00:22.677479,92.0,92.0,44
168,169,3,4096,256,192,0.25,2,0 days 00:00:00.023700,0 days 00:00:23.390179,90.0,90.0,51
169,170,3,4096,256,192,0.25,3,0 days 00:00:00.023700,0 days 00:00:38.095819,92.0,91.0,80
170,171,3,4096,256,192,0.25,5,0 days 00:00:00.023700,0 days 00:00:31.003981,93.0,93.0,80
171,172,3,4096,256,192,0.25,7,0 days 00:00:00.023700,0 days 00:00:31.258734,94.0,95.0,62
172,173,3,4096,256,256,0.0,2,0 days 00:00:00.020281,0 days 00:00:31.227020,91.0,91.0,42
173,174,3,4096,256,256,0.0,3,0 days 00:00:00.020281,0 days 00:00:38.695055,92.0,92.0,70
174,175,3,4096,256,256,0.0,5,0 days 00:00:00.020281,0 days 00:00:39.159609,97.0,97.0,75
175,176,3,4096,256,256,0.0,7,0 days 00:00:00.020281,0 days 00:00:30.036776,97.0,97.0,79
