,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan,FLOPS
0,1,3,256,256,64,0.75,2,0 days 00:00:00.021133,0 days 00:01:22.172047,88.0,88.0,80,12338550.0
1,2,3,256,256,64,0.75,3,0 days 00:00:00.021133,0 days 00:01:36.651124,95.0,96.0,80,27507990.0
2,3,3,256,256,64,0.75,5,0 days 00:00:00.021133,0 days 00:01:59.995275,97.0,97.0,80,76050198.0
3,4,3,256,256,64,0.75,7,0 days 00:00:00.021133,0 days 00:02:35.483938,96.0,96.0,80,148863510.0
4,5,3,256,256,128,0.5,2,0 days 00:00:00.010766,0 days 00:01:07.949301,88.0,89.0,80,6188142.0
5,6,3,256,256,128,0.5,3,0 days 00:00:00.010766,0 days 00:01:19.085106,95.0,96.0,80,13795902.0
6,7,3,256,256,128,0.5,5,0 days 00:00:00.010766,0 days 00:01:08.843651,95.0,96.0,80,38140734.0
7,8,3,256,256,128,0.5,7,0 days 00:00:00.010766,0 days 00:01:50.694782,97.0,97.0,80,74657982.0
8,9,3,256,256,192,0.25,2,0 days 00:00:00.013098,0 days 00:01:20.607094,90.0,90.0,80,4137758.0
9,10,3,256,256,192,0.25,3,0 days 00:00:00.013098,0 days 00:01:19.858994,94.0,94.0,80,9224718.0
10,11,3,256,256,192,0.25,5,0 days 00:00:00.013098,0 days 00:01:11.913033,95.0,95.0,80,25502990.0
11,12,3,256,256,192,0.25,7,0 days 00:00:00.013098,0 days 00:01:24.944955,95.0,96.0,80,49920398.0
12,13,3,256,256,256,0.0,2,0 days 00:00:00.006736,0 days 00:00:45.891488,84.0,85.0,80,3114718.0
13,14,3,256,256,256,0.0,3,0 days 00:00:00.006736,0 days 00:00:35.280791,88.0,88.0,50,6944078.0
14,15,3,256,256,256,0.0,5,0 days 00:00:00.006736,0 days 00:01:12.367137,95.0,96.0,80,19198030.0
15,16,3,256,256,256,0.0,7,0 days 00:00:00.006736,0 days 00:01:25.717560,95.0,95.0,80,37578958.0
16,17,3,512,256,64,0.75,2,0 days 00:00:00.016468,0 days 00:00:19.332738,81.0,83.0,25,12338550.0
17,18,3,512,256,64,0.75,3,0 days 00:00:00.016468,0 days 00:01:35.898556,96.0,96.0,80,27507990.0
18,19,3,512,256,64,0.75,5,0 days 00:00:00.016468,0 days 00:01:53.471407,97.0,97.0,80,76050198.0
19,20,3,512,256,64,0.75,7,0 days 00:00:00.016468,0 days 00:02:26.238075,97.0,97.0,75,148863510.0
20,21,3,512,256,128,0.5,2,0 days 00:00:00.012391,0 days 00:00:13.416101,80.0,83.0,21,6188142.0
21,22,3,512,256,128,0.5,3,0 days 00:00:00.012391,0 days 00:01:30.759476,97.0,97.0,80,13795902.0
22,23,3,512,256,128,0.5,5,0 days 00:00:00.012391,0 days 00:01:36.159930,97.0,97.0,80,38140734.0
23,24,3,512,256,128,0.5,7,0 days 00:00:00.012391,0 days 00:01:46.348441,98.0,98.0,80,74657982.0
24,25,3,512,256,192,0.25,2,0 days 00:00:00.010914,0 days 00:01:12.287136,89.0,89.0,80,4137758.0
25,26,3,512,256,192,0.25,3,0 days 00:00:00.010914,0 days 00:01:13.220627,95.0,96.0,80,9224718.0
26,27,3,512,256,192,0.25,5,0 days 00:00:00.010914,0 days 00:01:36.268476,96.0,96.0,80,25502990.0
27,28,3,512,256,192,0.25,7,0 days 00:00:00.010914,0 days 00:01:28.721841,97.0,97.0,80,49920398.0
28,29,3,512,256,256,0.0,2,0 days 00:00:00.009995,0 days 00:00:33.997725,81.0,82.0,62,3114718.0
29,30,3,512,256,256,0.0,3,0 days 00:00:00.009995,0 days 00:00:58.282277,90.0,90.0,80,6944078.0
30,31,3,512,256,256,0.0,5,0 days 00:00:00.009995,0 days 00:01:09.450927,94.0,94.0,80,19198030.0
31,32,3,512,256,256,0.0,7,0 days 00:00:00.009995,0 days 00:01:21.452980,95.0,95.0,80,37578958.0
32,33,3,512,512,128,0.75,2,0 days 00:00:00.012793,0 days 00:01:13.382937,91.0,92.0,80,6188142.0
33,34,3,512,512,128,0.75,3,0 days 00:00:00.012793,0 days 00:01:25.392924,97.0,97.0,80,13795902.0
34,35,3,512,512,128,0.75,5,0 days 00:00:00.012793,0 days 00:01:17.921362,97.0,97.0,70,38140734.0
35,36,3,512,512,128,0.75,7,0 days 00:00:00.012793,0 days 00:01:36.778454,97.0,97.0,70,74657982.0
36,37,3,512,512,256,0.5,2,0 days 00:00:00.009367,0 days 00:00:35.438995,82.0,83.0,59,3114718.0
37,38,3,512,512,256,0.5,3,0 days 00:00:00.009367,0 days 00:00:59.257179,89.0,89.0,80,6944078.0
38,39,3,512,512,256,0.5,5,0 days 00:00:00.009367,0 days 00:01:04.879628,93.0,93.0,80,19198030.0
39,40,3,512,512,256,0.5,7,0 days 00:00:00.009367,0 days 00:01:14.979563,95.0,95.0,80,37578958.0
40,41,3,512,512,384,0.25,2,0 days 00:00:00.008757,0 days 00:00:52.963101,87.0,87.0,80,2046022.0
41,42,3,512,512,384,0.25,3,0 days 00:00:00.008757,0 days 00:01:06.041041,94.0,94.0,80,4561222.0
42,43,3,512,512,384,0.25,5,0 days 00:00:00.008757,0 days 00:01:07.943215,96.0,96.0,79,12609862.0
43,44,3,512,512,384,0.25,7,0 days 00:00:00.008757,0 days 00:01:19.938283,95.0,96.0,80,24682822.0
44,45,3,512,512,512,0.0,2,0 days 00:00:00.007277,0 days 00:00:47.154493,87.0,87.0,80,1551302.0
45,46,3,512,512,512,0.0,3,0 days 00:00:00.007277,0 days 00:01:11.638143,93.0,94.0,80,3458182.0
46,47,3,512,512,512,0.0,5,0 days 00:00:00.007277,0 days 00:00:54.108891,92.0,92.0,80,9560198.0
47,48,3,512,512,512,0.0,7,0 days 00:00:00.007277,0 days 00:01:02.057645,95.0,96.0,80,18713222.0
48,49,3,1024,256,64,0.75,2,0 days 00:00:00.023242,0 days 00:00:16.695270,81.0,84.0,22,12338550.0
49,50,3,1024,256,64,0.75,3,0 days 00:00:00.023242,0 days 00:01:30.825827,96.0,96.0,80,27507990.0
50,51,3,1024,256,64,0.75,5,0 days 00:00:00.023242,0 days 00:01:44.723727,97.0,97.0,70,76050198.0
51,52,3,1024,256,64,0.75,7,0 days 00:00:00.023242,0 days 00:02:58.931820,97.0,97.0,80,148863510.0
52,53,3,1024,256,128,0.5,2,0 days 00:00:00.016606,0 days 00:00:14.631445,81.0,84.0,19,6188142.0
53,54,3,1024,256,128,0.5,3,0 days 00:00:00.016606,0 days 00:01:18.453003,96.0,96.0,80,13795902.0
54,55,3,1024,256,128,0.5,5,0 days 00:00:00.016606,0 days 00:02:03.676154,97.0,97.0,80,38140734.0
