,NExp,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan,FLOPS
0,1,3,256,256,64,0.75,2,0 days 00:00:00.019481,0 days 00:00:42.417131,71.0,69.0,30,12593782.0
1,2,3,256,256,64,0.75,3,0 days 00:00:00.019481,0 days 00:01:04.331512,70.0,66.0,44,28077142.0
2,3,3,256,256,64,0.75,5,0 days 00:00:00.019481,0 days 00:01:44.071359,72.0,71.0,44,77623894.0
3,4,3,256,256,64,0.75,7,0 days 00:00:00.019481,0 days 00:02:12.801198,70.0,72.0,32,151944022.0
4,5,3,256,256,128,0.5,2,0 days 00:00:00.014311,0 days 00:00:22.696666,70.0,60.0,18,6319902.0
5,6,3,256,256,128,0.5,3,0 days 00:00:00.014311,0 days 00:00:41.398828,70.0,68.0,41,14089742.0
6,7,3,256,256,128,0.5,5,0 days 00:00:00.014311,0 days 00:01:56.097615,74.0,74.0,80,38953230.0
7,8,3,256,256,128,0.5,7,0 days 00:00:00.014311,0 days 00:01:15.951184,72.0,69.0,37,76248462.0
8,9,3,256,256,192,0.25,2,0 days 00:00:00.012500,0 days 00:00:27.230556,71.0,68.0,41,4210414.0
9,10,3,256,256,192,0.25,3,0 days 00:00:00.012500,0 days 00:00:19.407734,70.0,69.0,23,9386814.0
10,11,3,256,256,192,0.25,5,0 days 00:00:00.012500,0 days 00:01:23.767566,73.0,74.0,76,25951294.0
11,12,3,256,256,192,0.25,7,0 days 00:00:00.012500,0 days 00:01:08.208632,72.0,70.0,39,50798014.0
12,13,3,256,256,256,0.0,2,0 days 00:00:00.010173,0 days 00:00:25.403724,71.0,68.0,29,3137094.0
13,14,3,256,256,256,0.0,3,0 days 00:00:00.010173,0 days 00:00:15.064139,69.0,60.0,19,6993734.0
14,15,3,256,256,256,0.0,5,0 days 00:00:00.010173,0 days 00:00:39.621980,71.0,70.0,44,19334982.0
15,16,3,256,256,256,0.0,7,0 days 00:00:00.010173,0 days 00:00:52.978510,70.0,67.0,40,37846854.0
16,17,3,512,256,64,0.75,2,0 days 00:00:00.025440,0 days 00:00:29.641882,71.0,64.0,22,12593782.0
17,18,3,512,256,64,0.75,3,0 days 00:00:00.025440,0 days 00:01:07.570784,60.0,70.0,41,28077142.0
18,19,3,512,256,64,0.75,5,0 days 00:00:00.025440,0 days 00:01:35.146548,71.0,74.0,40,77623894.0
19,20,3,512,256,64,0.75,7,0 days 00:00:00.025440,0 days 00:02:27.363766,74.0,74.0,40,151944022.0
20,21,3,512,256,128,0.5,2,0 days 00:00:00.016563,0 days 00:00:13.327865,71.0,62.0,14,6319902.0
21,22,3,512,256,128,0.5,3,0 days 00:00:00.016563,0 days 00:00:49.684826,69.0,72.0,44,14089742.0
22,23,3,512,256,128,0.5,5,0 days 00:00:00.016563,0 days 00:01:26.476744,70.0,72.0,65,38953230.0
23,24,3,512,256,128,0.5,7,0 days 00:00:00.016563,0 days 00:01:15.437244,75.0,76.0,36,76248462.0
24,25,3,512,256,192,0.25,2,0 days 00:00:00.013147,0 days 00:00:55.749714,71.0,74.0,65,4210414.0
25,26,3,512,256,192,0.25,3,0 days 00:00:00.013147,0 days 00:01:17.351296,76.0,77.0,80,9386814.0
26,27,3,512,256,192,0.25,5,0 days 00:00:00.013147,0 days 00:01:10.935502,75.0,75.0,65,25951294.0
27,28,3,512,256,192,0.25,7,0 days 00:00:00.013147,0 days 00:01:10.741673,75.0,74.0,46,50798014.0
28,29,3,512,256,256,0.0,2,0 days 00:00:00.010417,0 days 00:00:08.992325,70.0,62.0,14,3137094.0
29,30,3,512,256,256,0.0,3,0 days 00:00:00.010417,0 days 00:00:55.647617,70.0,75.0,74,6993734.0
30,31,3,512,256,256,0.0,5,0 days 00:00:00.010417,0 days 00:01:10.334719,77.0,75.0,80,19334982.0
31,32,3,512,256,256,0.0,7,0 days 00:00:00.010417,0 days 00:00:47.326468,77.0,75.0,36,37846854.0
32,33,3,512,512,128,0.75,2,0 days 00:00:00.017764,0 days 00:00:24.090857,67.0,66.0,27,6319902.0
33,34,3,512,512,128,0.75,3,0 days 00:00:00.017764,0 days 00:00:23.095289,68.0,56.00000000000001,21,14089742.0
34,35,3,512,512,128,0.75,5,0 days 00:00:00.017764,0 days 00:01:02.640867,65.0,73.0,40,38953230.0
35,36,3,512,512,128,0.75,7,0 days 00:00:00.017764,0 days 00:02:45.700492,73.0,77.0,80,76248462.0
36,37,3,512,512,256,0.5,2,0 days 00:00:00.010089,0 days 00:00:18.550893,72.0,68.0,28,3137094.0
37,38,3,512,512,256,0.5,3,0 days 00:00:00.010089,0 days 00:00:32.175230,71.0,69.0,34,6993734.0
38,39,3,512,512,256,0.5,5,0 days 00:00:00.010089,0 days 00:01:02.058468,75.0,77.0,66,19334982.0
39,40,3,512,512,256,0.5,7,0 days 00:00:00.010089,0 days 00:00:47.694119,73.0,69.0,35,37846854.0
40,41,3,512,512,384,0.25,2,0 days 00:00:00.012053,0 days 00:00:13.521557,63.0,68.0,18,2109534.0
41,42,3,512,512,384,0.25,3,0 days 00:00:00.012053,0 days 00:00:37.051822,42.0,63.0,41,4702734.0
42,43,3,512,512,384,0.25,5,0 days 00:00:00.012053,0 days 00:00:35.952961,73.0,71.0,40,13000974.0
43,44,3,512,512,384,0.25,7,0 days 00:00:00.012053,0 days 00:01:07.398601,71.0,76.0,68,25448334.0
44,45,3,512,512,512,0.0,2,0 days 00:00:00.011570,0 days 00:00:31.265518,69.0,72.0,37,1568838.0
45,46,3,512,512,512,0.0,3,0 days 00:00:00.011570,0 days 00:00:29.233544,68.0,73.0,37,3497158.0
46,47,3,512,512,512,0.0,5,0 days 00:00:00.011570,0 days 00:00:32.445527,72.0,73.0,35,9667782.0
47,48,3,512,512,512,0.0,7,0 days 00:00:00.011570,0 days 00:00:54.805646,75.0,71.0,58,18923718.0
48,49,3,1024,256,64,0.75,2,0 days 00:00:00.035764,0 days 00:00:16.824180,72.0,65.0,13,12593782.0
49,50,3,1024,256,64,0.75,3,0 days 00:00:00.035764,0 days 00:01:37.321668,75.0,76.0,57,28077142.0
50,51,3,1024,256,64,0.75,5,0 days 00:00:00.035764,0 days 00:03:10.110696,74.0,76.0,78,77623894.0
51,52,3,1024,256,64,0.75,7,0 days 00:00:00.035764,0 days 00:02:49.432967,74.0,72.0,45,151944022.0
52,53,3,1024,256,128,0.5,2,0 days 00:00:00.024313,0 days 00:00:10.405823,68.0,56.00000000000001,12,6319902.0
53,54,3,1024,256,128,0.5,3,0 days 00:00:00.024313,0 days 00:00:48.335017,50.0,63.0,44,14089742.0
54,55,3,1024,256,128,0.5,5,0 days 00:00:00.024313,0 days 00:00:54.011584,73.0,69.0,35,38953230.0
55,56,3,1024,256,128,0.5,7,0 days 00:00:00.024313,0 days 00:01:50.737563,74.0,73.0,49,76248462.0
56,57,3,1024,256,192,0.25,2,0 days 00:00:00.019408,0 days 00:00:08.740731,66.0,52.0,14,4210414.0
57,58,3,1024,256,192,0.25,3,0 days 00:00:00.019408,0 days 00:00:53.823987,75.0,76.0,56,9386814.0
58,59,3,1024,256,192,0.25,5,0 days 00:00:00.019408,0 days 00:00:56.867064,74.0,77.0,51,25951294.0
59,60,3,1024,256,192,0.25,7,0 days 00:00:00.019408,0 days 00:00:43.147928,75.0,72.0,25,50798014.0
60,61,3,1024,256,256,0.0,2,0 days 00:00:00.013519,0 days 00:00:22.249656,72.0,69.0,36,3137094.0
61,62,3,1024,256,256,0.0,3,0 days 00:00:00.013519,0 days 00:00:53.603502,76.0,74.0,68,6993734.0
62,63,3,1024,256,256,0.0,5,0 days 00:00:00.013519,0 days 00:00:48.504670,75.0,72.0,49,19334982.0
63,64,3,1024,256,256,0.0,7,0 days 00:00:00.013519,0 days 00:01:35.064157,77.0,78.0,80,37846854.0
64,65,3,1024,512,128,0.75,2,0 days 00:00:00.019517,0 days 00:00:42.858591,72.0,68.0,44,6319902.0
65,66,3,1024,512,128,0.75,3,0 days 00:00:00.019517,0 days 00:00:39.778506,25.0,57.99999999999999,33,14089742.0
66,67,3,1024,512,128,0.75,5,0 days 00:00:00.019517,0 days 00:01:02.940714,69.0,75.0,40,38953230.0
