,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,F1Score,FLOPS,AVGVimPredictTime,AVGVimTFLitePredictTime
236,3,4096,4096,4096,0.0,2,91.6,200374.0,283.825,0.156
232,3,4096,4096,3072,0.25,2,92.0,268190.0,273.555,0.173
156,3,2048,2048,2048,0.0,2,92.4,404574.0,277.317,0.193
237,3,4096,4096,4096,0.0,3,95.6,446294.0,280.978,0.245
233,3,4096,4096,3072,0.25,3,96.2,597710.0,279.771,0.265
1437,18,4096,4096,4096,0.0,3,96.8,1743798.0,283.68,0.526
1193,15,4096,4096,3072,0.25,3,97.2,1809998.0,276.245,0.553
1433,18,4096,4096,3072,0.25,3,97.4,2337606.0,284.496,0.617
1181,15,4096,2048,2048,0.0,3,98.0,2736910.0,277.748,0.701
2155,27,4096,4096,3072,0.25,7,98.2,17950926.0,275.834,3.85
